subid,month,sum_n,sum_prompts,adherence
1039,3,27,30,0.9
1039,4,22,30,0.7333333333333333
1039,5,20,30,0.6666666666666666
1039,6,15,30,0.5
1039,7,14,30,0.4666666666666667
1039,8,23,30,0.7666666666666667
1039,9,20,30,0.6666666666666666
1039,10,16,30,0.5333333333333333
1039,11,18,30,0.6
1039,12,17,30,0.5666666666666667
1041,1,26,30,0.8666666666666667
1041,2,26,30,0.8666666666666667
1041,3,29,30,0.9666666666666667
1041,4,20,30,0.6666666666666666
1041,5,29,30,0.9666666666666667
1041,6,24,30,0.8
1041,7,26,30,0.8666666666666667
1041,8,29,30,0.9666666666666667
1041,9,29,30,0.9666666666666667
1041,10,26,30,0.8666666666666667
1041,11,28,30,0.9333333333333333
1041,12,29,30,0.9666666666666667
1042,1,30,30,1
1042,2,28,30,0.9333333333333333
1042,3,30,30,1
1042,4,18,20,0.9
1043,1,25,30,0.8333333333333334
1043,2,17,30,0.5666666666666667
1043,3,19,30,0.6333333333333333
1043,4,16,30,0.5333333333333333
1043,5,14,30,0.4666666666666667
1043,6,17,30,0.5666666666666667
1043,7,19,30,0.6333333333333333
1043,8,18,30,0.6
1043,9,13,30,0.43333333333333335
1043,10,16,30,0.5333333333333333
1043,11,5,11,0.45454545454545453
1044,1,27,30,0.9
1044,2,26,30,0.8666666666666667
1044,3,25,30,0.8333333333333334
1044,4,27,30,0.9
1044,5,27,30,0.9
1044,6,30,30,1
1044,7,25,30,0.8333333333333334
1044,8,22,30,0.7333333333333333
1044,9,21,30,0.7
1044,10,16,30,0.5333333333333333
1044,11,16,30,0.5333333333333333
1044,12,6,30,0.2
1045,1,24,30,0.8
1045,2,21,30,0.7
1045,3,25,30,0.8333333333333334
1045,4,23,30,0.7666666666666667
1045,5,16,30,0.5333333333333333
1045,6,2,11,0.18181818181818182
1046,1,29,30,0.9666666666666667
1046,2,30,30,1
1046,3,28,30,0.9333333333333333
1046,4,26,30,0.8666666666666667
1046,5,23,30,0.7666666666666667
1046,6,25,30,0.8333333333333334
1046,7,22,30,0.7333333333333333
1046,8,23,30,0.7666666666666667
1046,9,17,30,0.5666666666666667
1046,10,18,30,0.6
1046,11,14,30,0.4666666666666667
1046,12,20,30,0.6666666666666666
1047,1,25,30,0.8333333333333334
1047,2,20,30,0.6666666666666666
1047,3,19,30,0.6333333333333333
1047,4,19,30,0.6333333333333333
1047,5,20,30,0.6666666666666666
1047,6,17,30,0.5666666666666667
1047,7,21,30,0.7
1047,8,12,22,0.5454545454545454
1048,1,30,30,1
1048,2,30,30,1
1048,3,29,30,0.9666666666666667
1048,4,29,30,0.9666666666666667
1048,5,26,30,0.8666666666666667
1048,6,29,30,0.9666666666666667
1048,7,27,30,0.9
1048,8,21,30,0.7
1048,9,26,30,0.8666666666666667
1048,10,25,30,0.8333333333333334
1048,11,29,30,0.9666666666666667
1048,12,25,30,0.8333333333333334
1049,1,30,30,1
1049,2,29,30,0.9666666666666667
1049,3,30,30,1
1049,4,30,30,1
1049,5,30,30,1
1049,6,30,30,1
1049,7,29,30,0.9666666666666667
1049,8,29,30,0.9666666666666667
1049,9,27,30,0.9
1049,10,20,30,0.6666666666666666
1049,11,17,30,0.5666666666666667
1049,12,16,20,0.8
1050,1,21,30,0.7
1050,2,19,30,0.6333333333333333
1050,3,27,30,0.9
1050,4,24,30,0.8
1050,5,21,30,0.7
1050,6,2,30,0.06666666666666667
1050,7,20,30,0.6666666666666666
1050,8,21,30,0.7
1050,9,21,30,0.7
1050,10,10,30,0.3333333333333333
1050,11,2,30,0.06666666666666667
1050,12,7,30,0.23333333333333334
1051,1,30,30,1
1051,2,30,30,1
1051,3,29,30,0.9666666666666667
1051,4,28,30,0.9333333333333333
1051,5,26,30,0.8666666666666667
1051,6,24,30,0.8
1051,7,21,30,0.7
1051,8,23,30,0.7666666666666667
1051,9,20,30,0.6666666666666666
1051,10,25,30,0.8333333333333334
1051,11,27,30,0.9
1051,12,25,30,0.8333333333333334
1052,1,25,30,0.8333333333333334
1052,2,17,30,0.5666666666666667
1052,3,19,30,0.6333333333333333
1052,4,22,30,0.7333333333333333
1052,5,23,30,0.7666666666666667
1052,6,19,30,0.6333333333333333
1052,7,22,30,0.7333333333333333
1052,8,18,30,0.6
1052,9,12,30,0.4
1052,10,1,30,0.03333333333333333
1052,11,8,25,0.32
1053,1,25,30,0.8333333333333334
1053,2,26,30,0.8666666666666667
1053,3,26,30,0.8666666666666667
1053,4,27,30,0.9
1053,5,24,30,0.8
1053,6,22,30,0.7333333333333333
1053,7,22,30,0.7333333333333333
1053,8,22,30,0.7333333333333333
1053,9,22,30,0.7333333333333333
1053,10,25,30,0.8333333333333334
1053,11,20,30,0.6666666666666666
1053,12,17,27,0.6296296296296297
1055,1,22,30,0.7333333333333333
1055,2,29,30,0.9666666666666667
1055,3,30,30,1
1055,4,27,30,0.9
1055,5,29,30,0.9666666666666667
1055,6,28,30,0.9333333333333333
1055,7,29,30,0.9666666666666667
1055,8,28,30,0.9333333333333333
1055,9,28,30,0.9333333333333333
1055,10,29,30,0.9666666666666667
1055,11,26,30,0.8666666666666667
1055,12,28,30,0.9333333333333333
1056,1,22,30,0.7333333333333333
1056,2,23,30,0.7666666666666667
1056,3,24,30,0.8
1056,4,19,30,0.6333333333333333
1056,5,21,30,0.7
1056,6,15,30,0.5
1056,7,16,30,0.5333333333333333
1056,8,17,30,0.5666666666666667
1056,9,10,30,0.3333333333333333
1056,10,12,30,0.4
1056,11,9,30,0.3
1056,12,14,28,0.5
1057,1,21,30,0.7
1057,2,2,24,0.08333333333333333
1058,1,20,30,0.6666666666666666
1058,2,23,30,0.7666666666666667
1058,3,24,30,0.8
1058,4,24,30,0.8
1058,5,4,9,0.4444444444444444
1059,1,25,30,0.8333333333333334
1059,2,24,30,0.8
1059,3,27,30,0.9
1059,4,29,30,0.9666666666666667
1059,5,29,30,0.9666666666666667
1059,6,26,30,0.8666666666666667
1059,7,27,30,0.9
1059,8,26,30,0.8666666666666667
1059,9,22,30,0.7333333333333333
1059,10,25,30,0.8333333333333334
1059,11,23,30,0.7666666666666667
1059,12,25,30,0.8333333333333334
1061,1,27,30,0.9
1061,2,21,30,0.7
1061,3,16,30,0.5333333333333333
1061,4,16,30,0.5333333333333333
1061,5,22,30,0.7333333333333333
1061,6,27,30,0.9
1061,7,17,30,0.5666666666666667
1061,8,17,30,0.5666666666666667
1061,9,19,30,0.6333333333333333
1061,10,18,30,0.6
1061,11,19,30,0.6333333333333333
1061,12,13,30,0.43333333333333335
1062,1,25,30,0.8333333333333334
1062,2,25,30,0.8333333333333334
1062,3,27,30,0.9
1062,4,26,30,0.8666666666666667
1062,5,24,30,0.8
1062,6,25,30,0.8333333333333334
1062,7,23,30,0.7666666666666667
1062,8,22,30,0.7333333333333333
1062,9,17,30,0.5666666666666667
1062,10,0,30,0
1062,11,4,30,0.13333333333333333
1062,12,7,26,0.2692307692307692
1063,1,27,30,0.9
1063,2,25,30,0.8333333333333334
1063,3,26,30,0.8666666666666667
1063,4,28,30,0.9333333333333333
1063,5,29,30,0.9666666666666667
1063,6,30,30,1
1063,7,28,30,0.9333333333333333
1063,8,26,30,0.8666666666666667
1063,9,18,30,0.6
1063,10,4,30,0.13333333333333333
1063,11,14,30,0.4666666666666667
1063,12,9,26,0.34615384615384615
1065,1,25,30,0.8333333333333334
1065,2,29,30,0.9666666666666667
1065,3,20,25,0.8
1066,1,25,30,0.8333333333333334
1066,2,19,30,0.6333333333333333
1066,3,20,30,0.6666666666666666
1066,4,24,30,0.8
1066,5,14,30,0.4666666666666667
1066,6,4,30,0.13333333333333333
1066,7,18,30,0.6
1066,8,23,30,0.7666666666666667
1066,9,19,30,0.6333333333333333
1066,10,16,30,0.5333333333333333
1066,11,18,30,0.6
1066,12,19,30,0.6333333333333333
1067,1,25,30,0.8333333333333334
1067,2,16,19,0.8421052631578947
1068,1,30,30,1
1068,2,30,30,1
1068,3,30,30,1
1068,4,30,30,1
1068,5,28,30,0.9333333333333333
1068,6,30,30,1
1068,7,30,30,1
1068,8,30,30,1
1068,9,30,30,1
1068,10,29,30,0.9666666666666667
1068,11,29,30,0.9666666666666667
1068,12,23,30,0.7666666666666667
1069,1,27,30,0.9
1069,2,30,30,1
1069,3,30,30,1
1069,4,28,30,0.9333333333333333
1069,5,29,30,0.9666666666666667
1069,6,27,30,0.9
